n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s
10,79,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,80,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,81,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,82,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,83,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,84,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,85,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,86,0.00000000,0.00100000,0.00100000,0.00000000,0.00100000,0.00100000
10,87,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,88,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,89,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,90,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,91,0.00000000,0.00000000,0.28900000,0.00000000,0.28900000,0.00000000
10,92,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,93,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,94,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,95,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,96,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,97,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,98,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,99,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,100,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
40,1,0.00000000,0.00100000,0.23700000,5.47300000,0.23700000,5.47400000
40,2,0.00000000,0.00100000,0.22600000,0.04700000,0.22600000,0.04800000
40,3,0.00000000,0.00100000,5.45000000,0.06100000,5.45000000,0.06200000
40,4,0.00000000,0.00100000,0.20600000,0.02800000,0.20600000,0.02900000
40,5,0.00000000,0.00100000,5.40400000,0.03900000,5.40400000,0.04000000
40,6,0.00000000,0.00100000,5.48700000,0.05100000,5.48700000,0.05200000
40,7,0.00000000,0.00100000,0.21800000,0.04400000,0.21800000,0.04500000
40,8,0.00000000,0.00200000,5.31900000,0.04000000,5.31900000,0.04200000
40,9,0.00000000,0.00100000,5.43600000,0.04200000,5.43600000,0.04300000
40,10,0.00000000,0.00100000,5.56900000,0.03100000,5.56900000,0.03200000
40,11,0.00000000,0.00100000,5.84400000,0.04500000,5.84400000,0.04600000
40,12,0.00000000,0.00100000,5.17000000,0.06300000,5.17000000,0.06400000
40,13,0.00000000,0.00200000,4.95600000,0.04700000,4.95600000,0.04900000
40,14,0.00000000,0.00100000,5.53800000,0.03900000,5.53800000,0.04000000
40,15,0.00000000,0.00100000,0.21700000,0.04900000,0.21700000,0.05000000
40,16,0.00000000,0.00100000,5.12000000,0.05800000,5.12000000,0.05900000
40,17,0.00000000,0.00100000,0.23900000,0.06700000,0.23900000,0.06800000
40,18,0.00000000,0.00100000,5.02900000,0.04600000,5.02900000,0.04700000
40,19,0.00000000,0.00100000,6.18800000,0.04300000,6.18800000,0.04400000
40,20,0.00000000,0.00200000,0.20200000,0.05600000,0.20200000,0.05800000
40,21,0.00000000,0.00100000,0.20900000,0.05600000,0.20900000,0.05700000
40,22,0.00000000,0.00100000,5.32100000,0.05300000,5.32100000,0.05400000
40,23,0.00000000,0.00100000,5.01900000,4.87200000,5.01900000,4.87300000
40,24,0.00000000,0.00100000,5.23200000,0.05900000,5.23200000,0.06000000
40,25,0.00000000,0.00100000,5.39500000,0.05800000,5.39500000,0.05900000
40,26,0.00000000,0.00200000,5.55500000,0.04600000,5.55500000,0.04800000
40,27,0.00000000,0.00100000,6.33800000,0.04700000,6.33800000,0.04800000
40,28,0.00000000,0.00100000,5.40700000,0.04300000,5.40700000,0.04400000
40,29,0.00000000,0.00100000,5.40000000,0.07300000,5.40000000,0.07400000
40,30,0.00000000,0.00100000,0.20500000,0.04100000,0.20500000,0.04200000
40,31,0.00000000,0.00100000,5.45700000,0.06300000,5.45700000,0.06400000
40,32,0.00000000,0.00200000,5.40300000,0.04700000,5.40300000,0.04900000
40,33,0.00000000,0.00100000,5.71900000,0.04500000,5.71900000,0.04600000
40,34,0.00000000,0.00100000,6.73600000,0.05100000,6.73600000,0.05200000
40,35,0.00000000,0.00100000,7.16500000,0.05800000,7.16500000,0.05900000
40,36,0.00000000,0.00100000,0.23400000,0.03600000,0.23400000,0.03700000
40,37,0.00000000,0.00100000,6.02000000,0.09100000,6.02000000,0.09200000
40,38,0.00000000,0.00100000,6.65900000,0.05700000,6.65900000,0.05800000
40,39,0.00000000,0.00100000,6.26400000,0.05000000,6.26400000,0.05100000
40,40,0.00000000,0.00100000,6.04000000,0.05600000,6.04000000,0.05700000
40,41,0.00000000,0.00100000,6.76400000,0.04800000,6.76400000,0.04900000
40,42,0.00000000,0.00100000,5.94700000,0.04600000,5.94700000,0.04700000
40,43,0.00000000,0.00100000,0.27000000,0.06300000,0.27000000,0.06400000
40,44,0.00000000,0.00100000,6.84700000,0.04100000,6.84700000,0.04200000
40,45,0.00000000,0.00100000,6.29600000,0.04400000,6.29600000,0.04500000
40,46,0.00000000,0.00100000,0.25500000,0.05000000,0.25500000,0.05100000
40,47,0.00000000,0.00200000,7.02000000,0.06400000,7.02000000,0.06600000
40,48,0.00000000,0.00100000,0.24500000,0.06100000,0.24500000,0.06200000
40,49,0.00000000,0.00100000,0.26900000,0.05200000,0.26900000,0.05300000
40,50,0.00000000,0.00200000,5.99600000,0.04600000,5.99600000,0.04800000
40,51,0.00000000,0.00100000,6.05600000,0.05700000,6.05600000,0.05800000
40,52,0.00000000,0.00200000,0.23100000,0.06900000,0.23100000,0.07100000
40,53,0.00000000,0.00100000,0.20500000,0.04700000,0.20500000,0.04800000
40,54,0.00000000,0.00200000,4.93800000,0.03800000,4.93800000,0.04000000
40,55,0.00000000,0.00200000,4.89900000,0.04800000,4.89900000,0.05000000
40,56,0.00000000,0.00100000,0.22000000,0.04100000,0.22000000,0.04200000
40,57,0.00000000,0.00100000,0.23300000,0.05300000,0.23300000,0.05400000
40,58,0.00000000,0.00200000,0.21200000,0.06400000,0.21200000,0.06600000
40,59,0.00000000,0.00100000,5.30900000,0.05200000,5.30900000,0.05300000
40,60,0.00000000,0.00100000,5.04300000,0.05700000,5.04300000,0.05800000
40,61,0.00000000,0.00100000,5.28300000,0.03200000,5.28300000,0.03300000
40,62,0.00000000,0.00100000,5.64900000,0.03600000,5.64900000,0.03700000
40,63,0.00000000,0.00100000,5.41800000,0.04300000,5.41800000,0.04400000
40,64,0.00000000,0.00100000,5.35300000,0.06100000,5.35300000,0.06200000
40,65,0.00000000,0.00100000,4.95400000,0.06000000,4.95400000,0.06100000
40,66,0.00000000,0.00200000,5.97000000,0.06400000,5.97000000,0.06600000
40,67,0.00000000,0.00100000,0.21700000,5.93700000,0.21700000,5.93800000
40,68,0.00000000,0.00200000,5.33900000,0.05100000,5.33900000,0.05300000
40,69,0.00000000,0.00100000,0.20000000,0.05600000,0.20000000,0.05700000
40,70,0.00000000,0.00100000,5.38600000,0.04700000,5.38600000
