n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s
10,34,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,35,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,36,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,37,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,38,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,39,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,40,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,41,0.00000000,0.00000000,0.00400000,0.00200000,0.00400000,0.00200000
10,42,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,43,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,44,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,45,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,46,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,47,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,48,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,49,0.00000000,0.00000000,0.00500000,0.00200000,0.00500000,0.00200000
10,50,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,51,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,52,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,53,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,54,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,55,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,56,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,57,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,58,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,59,0.00000000,0.00000000,0.00400000,0.00200000,0.00400000,0.00200000
10,60,0.00000000,0.00000000,0.00600000,0.00100000,0.00600000,0.00100000
10,61,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,62,0.00000000,0.00000000,0.00400000,0.00200000,0.00400000,0.00200000
10,63,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,64,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,65,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,66,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,67,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,68,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,69,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,70,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,71,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,72,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,73,0.00000000,0.00000000,0.00600000,0.00100000,0.00600000,0.00100000
10,74,0.00000000,0.00000000,0.00400000,0.00200000,0.00400000,0.00200000
10,75,0.00000000,0.00000000,0.00200000,0.00100000,0.00200000,0.00100000
10,76,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,77,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,78,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,79,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,80,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,81,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,82,0.00000000,0.00000000,0.00300000,0.00000000,0.00300000,0.00000000
10,83,0.00000000,0.00000000,0.00600000,0.00100000,0.00600000,0.00100000
10,84,0.00000000,0.00000000,0.00600000,0.00100000,0.00600000,0.00100000
10,85,0.00000000,0.00000000,0.00300000,0.00100000,0.00300000,0.00100000
10,86,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,87,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,88,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,89,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,90,0.00000000,0.00000000,0.00400000,0.00000000,0.00400000,0.00000000
10,91,0.00000000,0.00000000,0.00400000,0.00200000,0.00400000,0.00200000
10,92,0.00000000,0.00000000,0.00300000,0.00200000,0.00300000,0.00200000
10,93,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,94,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,95,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,96,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,97,0.00000000,0.00000000,0.00400000,0.00100000,0.00400000,0.00100000
10,98,0.00000000,0.00000000,0.00500000,0.00000000,0.00500000,0.00000000
10,99,0.00000000,0.00000000,0.00500000,0.00100000,0.00500000,0.00100000
10,100,0.00000000,0.00000000,0.00600000,0.00100000,0.00600000,0.00100000
40,1,0.00000000,0.00100000,0.69400000,0.10300000,0.69400000,0.10400000
40,2,0.00000000,0.00100000,0.67700000,0.12700000,0.67700000,0.12800000
40,3,0.00000000,0.00100000,0.67100000,0.13700000,0.67100000,0.13800000
40,4,0.00000000,0.00100000,0.60800000,0.09900000,0.60800000,0.10000000
40,5,0.00000000,0.00100000,0.59800000,0.14200000,0.59800000,0.14300000
40,6,0.00000000,0.00100000,0.76300000,0.14500000,0.76300000,0.14600000
40,7,0.00000000,0.00200000,0.75700000,0.10800000,0.75700000,0.11000000
40,8,0.00000000,0.00100000,0.65000000,0.15500000,0.65000000,0.15600000
40,9,0.00000000,0.00100000,0.57100000,0.11800000,0.57100000,0.11900000
40,10,0.00000000,0.00100000,0.65000000,0.15500000,0.65000000,0.15600000
40,11,0.00000000,0.00100000,0.61400000,0.11900000,0.61400000,0.12000000
40,12,0.00000000,0.00100000,0.62300000,0.11600000,0.62300000,0.11700000
40,13,0.00000000,0.00100000,0.56300000,0.11600000,0.56300000,0.11700000
40,14,0.00000000,0.00100000,0.64100000,0.12800000,0.64100000,0.12900000
40,15,0.00000000,0.00100000,0.62000000,0.15300000,0.62000000,0.15400000
40,16,0.00000000,0.00200000,0.57100000,0.09100000,0.57100000,0.09300000
40,17,0.00000000,0.00100000,0.67200000,0.12500000,0.67200000,0.12600000
40,18,0.00000000,0.00100000,0.68100000,0.12900000,0.68100000,0.13000000
40,19,0.00000000,0.00200000,0.61700000,0.12600000,0.61700000,0.12800000
40,20,0.00000000,0.00100000,0.66200000,0.10500000,0.66200000,0.10600000
40,21,0.00000000,0.00100000,0.66900000,0.12400000,0.66900000,0.12500000
40,22,0.00000000,0.00100000,0.58400000,0.11400000,0.58400000,0.11500000
40,23,0.00000000,0.00100000,0.62000000,0.08400000,0.62000000,0.08500000
40,24,0.00000000,0.00100000,0.60200000,0.13000000,0.60200000,0.13100000
