n,tGen,thetaNO,thetaBH,tNO,tBH
26,1.71e-05,2.79e-05,0.0017705,0.0393828,0.0064093
26,1.67e-05,3.9e-06,0.0013106,0.0310597,0.0076133
26,2.08e-05,5.2e-06,0.0015325,0.0280599,0.007451
26,2.11e-05,5.1e-06,0.0016992,0.0351124,0.0102583
26,1.7e-05,4.1e-06,0.0012977,0.0399521,0.0077748
26,1.71e-05,4e-06,0.0012884,0.038532,0.0095734
26,2.13e-05,5e-06,0.0016633,0.0331519,0.012351
26,1.71e-05,4.2e-06,0.0013192,0.0343872,0.0060364
28,2.09e-05,4.5e-06,0.0018367,0.0432431,0.0071593
28,1.89e-05,4.5e-06,0.0018406,0.0381657,0.0098831
28,1.91e-05,4.5e-06,0.0017999,0.0318729,0.011322
28,1.88e-05,4.4e-06,0.0021206,0.0415945,0.013901
28,2.4e-05,5.5e-06,0.0021064,0.0400439,0.0401329
28,2.39e-05,6.2e-06,0.0018674,0.044157,0.0100842
28,2.36e-05,5.5e-06,0.0019365,0.0379493,0.0074256
28,2.4e-05,5.5e-06,0.0018025,0.0441122,0.0120112
28,1.94e-05,4.4e-06,0.0016833,0.0366696,0.0171405
28,2.38e-05,5.7e-06,0.001966,0.037097,0.0099061
28,2.39e-05,5.5e-06,0.0016358,0.0363698,0.0112386
28,1.83e-05,4.3e-06,0.00222,0.0374404,0.0077938
28,1.94e-05,4.4e-06,0.0020872,0.0501803,0.0098381
28,1.94e-05,4.4e-06,0.0016759,0.0423974,0.0110678
28,1.86e-05,4.6e-06,0.0016392,0.0473345,0.0093977
28,2.42e-05,5.5e-06,0.0020451,0.0423024,0.0075093
28,1.91e-05,4.9e-06,0.0016426,0.0394578,0.0128421
28,2.39e-05,5.7e-06,0.0020224,0.0361268,0.0058383
28,2.4e-05,5.9e-06,0.0018169,0.04081,0.0093831
28,1.92e-05,4.8e-06,0.001684,0.040128,0.0089067
30,3.67e-05,5.7e-06,0.0022236,0.0478414,0.0091633
30,2.7e-05,5e-06,0.0026447,0.0434429,0.0135225
30,2.63e-05,5e-06,0.002309,0.0445548,0.0085469
30,2.56e-05,5e-06,0.0022824,0.0407145,0.0091987
30,2.15e-05,4e-06,0.0021493,0.0459904,0.0119643
30,2.66e-05,5.1e-06,0.0023027,0.0490482,0.0158088
30,2.12e-05,4.3e-06,0.0024593,0.0469134,0.0167496
30,2.65e-05,4.9e-06,0.0025623,0.0712793,0.0063322
30,2.64e-05,5.2e-06,0.002311,0.0417203,0.0104453
30,2.6e-05,5e-06,0.0024338,0.0507753,0.012411
30,3.96e-05,7.1e-06,0.0022083,0.0478202,0.010957
30,3.6e-05,4.3e-06,0.0019516,0.0516784,0.0086117
30,2.08e-05,4.1e-06,0.0020803,0.0428666,0.011104
30,2.63e-05,5.1e-06,0.0026173,0.0415032,0.0122845
30,2.64e-05,5.3e-06,0.0021952,0.0440807,0.0061063
30,2.57e-05,5.1e-06,0.0024073,0.0487033,0.014967
30,2.63e-05,5.3e-06,0.0023894,0.0451936,0.0164973
30,2.1e-05,4.3e-06,0.0023793,0.0449188,0.0162624
30,2.11e-05,4.2e-06,0.0019884,0.0417518,0.0140934
30,2.6e-05,5.1e-06,0.002191,0.0442474,0.0118899
32,4.12e-05,7.8e-06,0.0024906,0.0561347,0.0098424
32,2.33e-05,4.7e-06,0.0025234,0.0482427,0.0102338
32,2.29e-05,4.7e-06,0.0027371,0.0458083,0.0163659
32,2.26e-05,4.6e-06,0.0029792,0.0549426,0.010897
32,2.9e-05,5.8e-06,0.0028393,0.0539633,0.0138433
32,2.92e-05,6e-06,0.0028916,0.0545241,0.0140413
32,2.88e-05,5.7e-06,0.002657,0.0548531,0.0481609
32,2.42e-05,5.2e-06,0.0026043,0.0542442,0.0147535
32,2.32e-05,4.8e-06,0.0023127,0.0526187,0.0123995
32,2.9e-05,5.8e-06,0.0028735,0.0562273,0.0148574
32,2.91e-05,5.9e-06,0.0030317,0.0553764,0.0163227
32,2.37e-05,4.8e-06,0.0031168,0.0577014,0.0142818
32,2.9e-05,6e-06,0.0028856,0.0509794,0.0168392
32,2.35e-05,4.7e-06,0.002933,0.0500584,0.0113876
32,2.91e-05,5.9e-06,0.0029229,0.0474764,0.0147393
32,2.32e-05,4.7e-06,0.0030953,0.0524081,0.0204293
32,2.9e-05,5.7e-06,0.0025647,0.0496682,0.0149527
32,2.9e-05,5.9e-06,0.0026383,0.0519545,0.0072598
32,2.84e-05,6e-06,0.0029804,0.0461153,0.0135251
32,4.8e-05,7.5e-06,0.0023778,0.0637932,0.0106757
34,4.5e-05,7.2e-06,0.0032127,0.0602525,0.010609
34,2.69e-05,5.5e-06,0.0032422,0.0596953,0.0127478
34,3.21e-05,6.6e-06,0.0033214,0.0475625,0.0134469
34,3.25e-05,6.8e-06,0.0033335,0.0537261,0.016595
34,3.23e-05,6.3e-06,0.0038059,0.0807296,0.0178361
34,3.25e-05,6.9e-06,0.0032212,0.0663336,0.016603
34,4.97e-05,1.02e-05,0.0032185,0.0601251,0.0171037
34,3.28e-05,6.5e-06,0.0040306,0.0530642,0.0106607
34,3.25e-05,6.6e-06,0.0032876,0.060436,0.0146078
34,2.61e-05,5.1e-06,0.0037388,0.0614512,0.0194139
34,2.58e-05,5.3e-06,0.0036494,0.0677835,0.0170835
34,2.6e-05,5.2e-06,0.0028884,0.0623615,0.0134372
34,2.66e-05,5.1e-06,0.003011,0.0647572,0.0170002
34,3.26e-05,6.5e-06,0.0033816,0.0641352,0.0160212
34,3.25e-05,6.3e-06,0.0032076,0.0691128,0.0125071
34,2.59e-05,5.4e-06,0.0033439,0.0571083,0.0109692
34,3.18e-05,6.4e-06,0.0030522,0.0621075,0.0123588
34,2.6e-05,5.3e-06,0.002833,0.0685889,0.018117
34,4.38e-05,8.2e-06,0.0029002,0.0646314,0.0126429
34,3.21e-05,6.5e-06,0.0028427,0.0865459,0.0077059
36,3.25e-05,5.2e-06,0.0042883,0.0687802,0.016478
36,2.97e-05,5.5e-06,0.0038371,0.074417,0.0185631
36,2.87e-05,5.6e-06,0.0042828,0.0707991,0.0170237
36,3.51e-05,6.6e-06,0.0041599,0.0580155,0.018865
36,2.86e-05,5.3e-06,0.0039706,0.0683067,0.0175184
36,3.85e-05,5.8e-06,0.0037261,0.0677322,0.0214318
36,2.84e-05,5.4e-06,0.004344,0.0658043,0.0135965
36,2.86e-05,5.4e-06,0.0034075,0.0660401,0.015728
36,3.57e-05,6.9e-06,0.0042651,0.0810366,0.0105707
36,3.57e-05,6.8e-06,0.0037105,0.0669472,0.0194963
36,3.55e-05,6.8e-06,0.0044142,0.0649219,0.0162954
36,2.8e-05,5.9e-06,0.0040107,0.0663667,0.0166052
36,3.55e-05,6.8e-06,0.0038966,0.0904565,0.0091646
36,3.48e-05,6.7e-06,0.0041794,0.0689186,0.0173138
36,3.57e-05,6.9e-06,0.004084,0.0719867,0.0192099
36,4.01e-05,7e-06,0.0038137,0.0643408,0.0134449
36,3.56e-05,7.1e-06,0.0040912,0.0661091,0.0215237
36,2.84e-05,5.5e-06,0.0039097,0.0651632,0.0149413
36,2.88e-05,5.3e-06,0.0043732,0.0715441,0.0186326
36,3.52e-05,6.6e-06,0.0038229,0.0628075,0.0161113
38,3.43e-05,5.6e-06,0.0041052,0.0800236,0.0232205
38,3.94e-05,6.7e-06,0.0043584,0.0836576,0.0210885
38,3.93e-05,6.4e-06,0.0047566,0.0724747,0.0136906
38,3.15e-05,5.1e-06,0.0042562,0.0789062,0.0231585
38,3.87e-05,6.5e-06,0.005328,0.0735882,0.0191389
38,3.15e-05,5.3e-06,0.0041844,0.114044,0.0229484
38,3.07e-05,5.7e-06,0.0040176,0.0747998,0.0146984
38,3.07e-05,5.2e-06,0.0048233,0.0729411,0.0134962
38,3.83e-05,6.5e-06,0.0042511,0.0794116,0.0228268
38,0.0001147,2.25e-05,0.0046909,0.0691511,0.0218383
38,3.91e-05,7e-06,0.0048436,0.0752422,0.0151504
38,3.05e-05,5.2e-06,0.0045382,0.0685163,0.0217632
38,3.31e-05,5.4e-06,0.0041883,0.0731489,0.0149823
38,3.08e-05,5.3e-06,0.0042422,0.0682665,0.0151544
38,3.11e-05,5.2e-06,0.0047507,0.081656,0.0150292
38,3.07e-05,5.1e-06,0.0045198,0.0816632,0.0225414
38,3.81e-05,6.4e-06,0.0049783,0.0671699,0.0452062
38,3.16e-05,5.3e-06,0.0042134,0.0761173,0.0169978
38,3.12e-05,5.3e-06,0.0049479,0.0810985,0.015696
38,3.07e-05,5.4e-06,0.0040946,0.0736374,0.0212657
40,4.54e-05,6.8e-06,0.0055117,0.0762795,0.0153849
40,4.35e-05,7.6e-06,0.0055844,0.0934468,0.0228643
40,3.41e-05,6.1e-06,0.0057248,0.0844455,0.0213944
40,3.93e-05,1.22e-05,0.0045187,0.084611,0.0191334
40,4.24e-05,7.3e-06,0.0053812,0.098493,0.0205322
40,4.33e-05,7.7e-06,0.0056451,0.084552,0.0236296
40,3.37e-05,7e-06,0.0057235,0.0828238,0.0176066
40,3.4e-05,5.9e-06,0.005663,0.0883701,0.0424139
40,4.24e-05,7.4e-06,0.0054221,0.0913029,0.0200566
40,4.31e-05,7.2e-06,0.0056534,0.0802411,0.0280201
40,3.39e-05,6.1e-06,0.0058725,0.0827816,0.0233904
40,3.44e-05,6.5e-06,0.005401,0.0933903,0.0219803
40,3.9e-05,1.27e-05,0.0055822,0.0791611,0.0196856
40,3.45e-05,1.21e-05,0.0050067,0.0924831,0.0235477
40,4.25e-05,7.4e-06,0.0054636,0.0751382,0.0190746
40,3.41e-05,6e-06,0.005526,0.0890841,0.0246818
40,3.43e-05,6e-06,0.0055097,0.0715541,0.0347519
40,3.7e-05,6e-06,0.0055866,0.0828354,0.0239123
40,3.44e-05,5.8e-06,0.0057315,0.088332,0.016165
40,3.4e-05,5.7e-06,0.0046128,0.116209,0.0195161
45,5.52e-05,7.8e-06,0.0079624,0.11081,0.0356262
45,4.22e-05,6.8e-06,0.0067513,0.118098,0.0182735
45,5.22e-05,8e-06,0.0066601,0.125,0.0243451
45,5.2e-05,8.1e-06,0.0081401,0.0998576,0.0230047
45,4.1e-05,6.5e-06,0.0068783,0.115595,0.0255439
45,5.39e-05,7.9e-06,0.0078934,0.108131,0.0299716
45,5.13e-05,7.7e-06,0.0080872,0.104024,0.022678
45,4.12e-05,6.3e-06,0.0070242,0.136882,0.0306279
45,4.17e-05,6.4e-06,0.0072564,0.114143,0.0347357
45,5.24e-05,7.7e-06,0.0072975,0.112197,0.0252557
45,4.18e-05,7.1e-06,0.0066052,0.122127,0.0307722
45,5.21e-05,7.8e-06,0.0076787,0.113298,0.0298016
45,4.13e-05,6.7e-06,0.007227,0.116149,0.0378217
45,4.13e-05,6.7e-06,0.0077225,0.115221,0.0352675
45,5.21e-05,8.1e-06,0.0069266,0.103968,0.028181
45,4.24e-05,6.5e-06,0.0068384,0.139868,0.0304848
45,4.18e-05,7e-06,0.0075553,0.112914,0.0287715
45,5.21e-05,8.3e-06,0.0070817,0.11644,0.0391556
45,4.2e-05,1.64e-05,0.007522,0.115957,0.0294142
45,4.23e-05,6.1e-06,0.0072284,0.111673,0.0247554
50,5.38e-05,7e-06,0.0095129,0.152611,0.0239195
50,6.42e-05,8.5e-06,0.0101918,0.165945,0.0399975
50,6.32e-05,8.4e-06,0.0100496,0.152314,0.0275502
50,5.4e-05,1.14e-05,0.0099035,0.193727,0.0458579
50,6.29e-05,1.77e-05,0.0098436,0.142994,0.035541
50,5e-05,7e-06,0.0094958,0.146618,0.03374
50,5.03e-05,7.1e-06,0.0092801,0.136924,0.0385424
50,5.01e-05,1.44e-05,0.0101554,0.152545,0.0264184
50,4.98e-05,6.9e-06,0.0087359,0.14925,0.0436248
50,7.17e-05,9.7e-06,0.0103942,0.184585,0.0527233
50,5.06e-05,6.8e-06,0.0093575,0.159955,0.034937
50,4.97e-05,6.7e-06,0.0101461,0.158057,0.0361012
50,6.32e-05,8.3e-06,0.0100105,0.145676,0.0309517
50,6.25e-05,8.3e-06,0.0094282,0.15049,0.0345544
50,5.02e-05,6.8e-06,0.0099538,0.141629,0.0294588
50,6.94e-05,1.19e-05,0.0106738,0.176955,0.0392383
50,5.18e-05,6.5e-06,0.0097528,0.153378,0.0284234
50,0.0001213,1.17e-05,0.0096828,0.166457,0.0343115
50,6.3e-05,8.9e-06,0.0097491,0.14047,0.0441819
50,6.18e-05,8.4e-06,0.0102278,0.160371,0.0436208
55,6.32e-05,7.8e-06,0.0131017,0.222552,0.0679306
55,6.09e-05,7.9e-06,0.013621,0.1944,0.0327561
55,8.04e-05,1.75e-05,0.0141309,0.20168,0.035515
55,6.46e-05,1.46e-05,0.014203,0.197123,0.0532223
55,7.99e-05,1.79e-05,0.0138343,0.209948,0.0451365
55,7.91e-05,2.12e-05,0.0134865,0.202495,0.0395167
55,7.49e-05,2.24e-05,0.013881,0.176351,0.0441586
55,6.25e-05,7.9e-06,0.0140062,0.206061,0.0417273
55,8.01e-05,1.85e-05,0.0133847,0.213875,0.0400272
55,5.97e-05,7.6e-06,0.0126692,0.187141,0.0367988
55,0.0001163,1.93e-05,0.0135036,0.241423,0.0704776
55,5.96e-05,7.6e-06,0.0129558,0.17434,0.0421613
55,5.97e-05,7.6e-06,0.0131551,0.187187,0.044669
55,7.4e-05,9.2e-06,0.0136141,0.204075,0.0464234
55,5.98e-05,7.5e-06,0.0132749,0.210852,0.038803
55,5.98e-05,1.78e-05,0.0130261,0.217586,0.0405871
55,6.44e-05,1.44e-05,0.0140613,0.212522,0.052865
55,7.46e-05,9.5e-06,0.0139281,0.196268,0.0388814
55,7.62e-05,2.16e-05,0.0134526,0.184825,0.0427649
55,6e-05,7.5e-06,0.0140836,0.188736,0.0437927
60,7.88e-05,1.81e-05,0.0192277,0.284911,0.0519286
60,9.31e-05,1.76e-05,0.0182755,0.253268,0.047438
60,9.19e-05,1.87e-05,0.0183793,0.236373,0.0460965
60,7e-05,1.42e-05,0.0193054,0.27421,0.0474695
60,7.01e-05,1.58e-05,0.0191608,0.253473,0.0630027
60,7.02e-05,1.63e-05,0.0171803,0.267215,0.0658409
60,7.02e-05,1.54e-05,0.0173487,0.258281,0.0479456
60,8.8e-05,1.71e-05,0.0164187,0.279919,0.0613027
60,7.2e-05,1.56e-05,0.016615,0.262206,0.0482534
60,7.35e-05,4.57e-05,0.0176685,0.252585,0.0500004
60,9.7e-05,2.32e-05,0.0165046,0.257377,0.0694883
60,7e-05,1.78e-05,0.0156117,0.287777,0.0550104
60,8.82e-05,2.12e-05,0.0173606,0.2524,0.0602959
60,0.0001094,2.06e-05,0.0179816,0.262332,0.0501955
60,7.05e-05,1.09e-05,0.0163803,0.271997,0.0535255
60,6.98e-05,1.12e-05,0.0161879,0.275823,0.0518738
60,8.82e-05,1.51e-05,0.0175675,0.252906,0.0460062
60,7.37e-05,1.32e-05,0.0183187,0.275026,0.0566425
60,7.9e-05,1.82e-05,0.0173045,0.246329,0.0942939
60,7.14e-05,1.6e-05,0.0181017,0.252889,0.0571872
65,0.0001096,6.39e-05,0.022931,0.304477,0.0659412
65,0.0001088,2.35e-05,0.0232631,0.339971,0.0846845
65,0.0001127,1.82e-05,0.0221679,0.340745,0.0737599
65,8.64e-05,1.78e-05,0.024111,0.333803,0.0684641
65,0.0001155,1.7e-05,0.0208203,0.30993,0.100158
65,9.43e-05,1.98e-05,0.0219134,0.332203,0.066968
65,9.57e-05,2.02e-05,0.0235865,0.330357,0.0619685
65,0.0001169,2.33e-05,0.0232347,0.354475,0.0752266
65,8.93e-05,1.93e-05,0.024055,0.302808,0.0738618
65,8.8e-05,2.06e-05,0.0230157,0.352494,0.0843082
65,8.63e-05,1.78e-05,0.022889,0.339963,0.0568521
65,0.0001088,2.35e-05,0.023373,0.331593,0.0696502
65,8.76e-05,2.03e-05,0.0246619,0.310039,0.101047
65,0.0001187,1.79e-05,0.0232155,0.375301,0.0755248
65,9.36e-05,1.92e-05,0.0228101,0.312886,0.0710378
65,9.01e-05,2.01e-05,0.0213606,0.322085,0.0651521
65,8.7e-05,2.01e-05,0.0218823,0.350061,0.065801
65,0.0001098,2.28e-05,0.021996,0.309202,0.0663346
65,0.0001094,2.35e-05,0.0201073,0.342188,0.0718162
65,8.75e-05,1.94e-05,0.0220874,0.374595,0.0728483
70,0.0001377,1.78e-05,0.0319863,0.40041,0.095163
70,0.0001233,1.71e-05,0.0276146,0.376406,0.0863014
70,9.45e-05,2.27e-05,0.0290675,0.42944,0.093698
70,0.0001483,2.85e-05,0.0278028,0.394367,0.0704271
70,0.0001234,3.15e-05,0.0269902,0.470283,0.0927631
70,9.84e-05,1.79e-05,0.0307117,0.373175,0.0962454
70,9.92e-05,2.4e-05,0.0276189,0.487182,0.0727554
70,9.94e-05,1.82e-05,0.0278092,0.415429,0.0797271
70,0.0001,2.14e-05,0.0287834,0.39402,0.0861171
70,0.0001018,2.53e-05,0.0304382,0.383393,0.0861376
70,0.0001238,3.02e-05,0.0289043,0.380956,0.0933936
70,9.84e-05,2.28e-05,0.0281019,0.419346,0.0615147
70,9.85e-05,2.24e-05,0.0292225,0.393891,0.083452
70,9.84e-05,2e-05,0.0288323,0.417715,0.0797568
70,0.0001243,1.99e-05,0.0291568,0.434585,0.100397
70,9.98e-05,2.48e-05,0.0281136,0.397769,0.0887463
70,0.0001218,2.61e-05,0.0286598,0.44468,0.0915599
70,0.0001237,2.96e-05,0.0285763,0.374235,0.0851785
70,9.8e-05,2.48e-05,0.027063,0.420555,0.0768713
70,9.95e-05,2.48e-05,0.0264269,0.402949,0.0728644
75,0.0001199,2.78e-05,0.0367812,0.567374,0.106302
75,0.0001472,3.09e-05,0.0323474,0.502062,0.0841099
75,0.0001397,2.83e-05,0.0333006,0.521208,0.10033
75,0.0001806,3.41e-05,0.0367223,0.462499,0.0884441
75,0.0001123,2.57e-05,0.0329145,0.541183,0.106525
75,0.0001115,2.43e-05,0.0300504,0.481591,0.0975296
75,0.0001361,3.27e-05,0.0340363,0.462576,0.0974272
75,0.0001167,2.63e-05,0.0322548,0.49804,0.103718
75,0.0001396,3.11e-05,0.0331256,0.536784,0.113147
75,0.0001417,2.93e-05,0.0319998,0.478673,0.0831481
75,0.0001129,2.36e-05,0.0330887,0.568263,0.137533
75,0.0001413,3.37e-05,0.0383191,0.476872,0.114447
75,0.0001127,2.56e-05,0.0584574,0.484302,0.103855
75,0.0001573,4.87e-05,0.0327389,0.488382,0.0984711
75,0.0001134,2.13e-05,0.0327218,0.491166,0.113948
75,0.0001175,2.55e-05,0.0358615,0.537501,0.112242
75,0.0001372,2.91e-05,0.0378056,0.465872,0.117473
75,0.0001258,2.35e-05,0.0358551,0.497164,0.127985
75,0.0001435,2.86e-05,0.0340952,0.493151,0.129205
75,0.0001432,2.77e-05,0.0334491,0.482364,0.141667
80,0.000141,2.55e-05,0.0379634,0.595714,0.161672
80,0.0001775,0.0001877,0.0395246,0.65991,0.145087
80,0.0001576,3.05e-05,0.0393641,0.642664,0.131951
80,0.0001674,5.18e-05,0.0393542,0.649071,0.179086
80,0.0001251,2.76e-05,0.0428202,0.621568,0.131472
80,0.0001463,4.32e-05,0.0431027,0.650543,0.126678
80,0.0001576,3.15e-05,0.0426241,0.659568,0.151868
80,0.0001891,3.68e-05,0.039968,0.631297,0.12931
80,0.0001688,3.15e-05,0.0398839,0.648725,0.116008
80,0.0001595,2.34e-05,0.0383344,0.532243,0.136086
80,0.0001316,2.48e-05,0.0447405,0.638661,0.13308
80,0.0001679,3.03e-05,0.0404653,0.641679,0.11902
80,0.0001357,2.8e-05,0.0402662,0.612865,0.11189
80,0.0001292,2.31e-05,0.0405868,0.624207,0.115478
80,0.0001288,2.34e-05,0.0388621,0.659157,0.174908
80,0.0001262,3.16e-05,0.0410303,0.575038,0.119916
80,0.0001256,2.75e-05,0.0409431,0.654443,0.147178
80,0.0001244,2.83e-05,0.0378068,0.61784,0.144512
80,0.0001308,2.33e-05,0.0452624,0.631684,0.125245
80,0.0001643,3e-05,0.0417762,0.586041,0.129813
85,0.0001603,2.69e-05,0.0486032,0.680124,0.158404
85,0.0001522,3.36e-05,0.0504348,0.774913,0.17177
85,0.0001499,3.26e-05,0.0502416,0.775381,0.152935
85,0.0001471,3.31e-05,0.0537731,0.78991,0.153512
85,0.0001688,3.39e-05,0.0471022,0.765725,0.18956
85,0.0001813,3.27e-05,0.0492653,0.68115,0.126885
85,0.0001485,3.62e-05,0.047701,0.709824,0.12174
85,0.0001445,2.87e-05,0.0477677,0.747445,0.161433
85,0.0001445,2.94e-05,0.0480169,0.71098,0.143989
85,0.0001792,3.52e-05,0.0529639,0.760279,0.153012
85,0.0001441,2.87e-05,0.047485,0.76828,0.150514
85,0.0001618,4.1e-05,0.0473904,0.782491,0.164539
85,0.0001793,3.44e-05,0.0487066,0.756913,0.155672
85,0.0001741,3.03e-05,0.0548019,0.713514,0.151166
85,0.0001739,3.44e-05,0.0503231,0.808469,0.148507
85,0.000144,2.59e-05,0.0473333,0.682314,0.129631
85,0.0001461,2.96e-05,0.047982,0.716895,0.17017
85,0.0001811,3.69e-05,0.0495534,0.740866,0.146665
85,0.0001761,3.7e-05,0.0482259,0.708338,0.161561
85,0.0001493,3.58e-05,0.0483518,0.713665,0.173504
90,0.0001974,4.56e-05,0.0542021,0.89168,0.164543
90,0.0001657,4.59e-05,0.0639112,0.924654,0.21471
90,0.0001971,3.65e-05,0.0641952,0.92136,0.179315
90,0.0001588,3.08e-05,0.0581978,0.953647,0.170547
90,0.0001998,4.04e-05,0.0607115,0.935139,0.16234
90,0.0001606,3.47e-05,0.0571343,0.944202,0.161935
90,0.0001611,2.77e-05,0.0632807,0.896513,0.177151
90,0.0002009,3.47e-05,0.0569109,0.90215,0.224963
90,0.000197,3.48e-05,0.0547103,0.928434,0.197253
90,0.000161,3.29e-05,0.0589263,0.971357,0.226299
90,0.0001714,3.44e-05,0.0581272,1.00649,0.185334
90,0.0001938,3.64e-05,0.0572747,0.841784,0.175383
90,0.0001617,3.31e-05,0.0583197,0.873793,0.217499
90,0.0001626,3.26e-05,0.0606194,0.886696,0.168062
90,0.0003607,3.86e-05,0.0627588,0.923309,0.208577
90,0.0001598,2.89e-05,0.05942,0.882357,0.187832
90,0.0001604,3.34e-05,0.0553058,0.859088,0.201499
90,0.0001942,3.94e-05,0.0570633,0.868317,0.197727
90,0.0001621,4.82e-05,0.0563143,0.973737,0.181109
90,0.0002015,3.76e-05,0.0604975,0.866901,0.168465
95,0.0001801,4.01e-05,0.0668313,1.1386,0.206903
95,0.0001798,3.18e-05,0.0655752,1.01212,0.275559
95,0.0001861,4.81e-05,0.0734727,1.03513,0.211965
95,0.0001824,3.55e-05,0.066201,1.08018,0.203667
95,0.0002191,4.1e-05,0.0647133,1.13953,0.214333
95,0.0002202,4e-05,0.0651915,1.09587,0.245718
95,0.0001904,3.47e-05,0.0640172,1.0286,0.297738
95,0.0001759,2.29e-05,0.064288,1.08936,0.234075
95,0.0001836,3.4e-05,0.0717692,1.12765,0.220412
95,0.0001774,3.66e-05,0.0639844,0.992808,0.179637
95,0.0002134,4.66e-05,0.064178,1.15354,0.170376
95,0.0001919,6.64e-05,0.0610955,1.02762,0.219022
95,0.000223,3.76e-05,0.0617609,1.13036,0.24314
95,0.0003926,5.48e-05,0.0667153,1.04547,0.240218
95,0.0001808,2.51e-05,0.0656392,1.10216,0.273181
95,0.0002136,3.49e-05,0.0667712,1.08045,0.224589
95,0.0001837,3.11e-05,0.0661814,1.01214,0.215675
95,0.0002316,3.13e-05,0.0661311,1.16556,0.187744
95,0.0002147,2.99e-05,0.0653897,0.978187,0.207706
95,0.0002161,3.31e-05,0.0668923,1.15522,0.222021
100,0.0001955,2.8e-05,0.0772028,1.32979,0.334033
100,0.0002523,4.12e-05,0.0759525,1.35353,0.26526
100,0.0002034,4.47e-05,0.0770679,1.27219,0.30982
100,0.0002375,2.83e-05,0.0775041,1.39884,0.266079
100,0.0002013,3.53e-05,0.0774917,1.27032,0.259688
100,0.0002127,3.55e-05,0.0769483,1.25649,0.292855
100,0.0002505,4.88e-05,0.0731772,1.34422,0.275769
100,0.0002446,4.92e-05,0.0753845,1.346,0.233616
100,0.0002412,3.71e-05,0.0778529,1.31792,0.283713
100,0.0002658,8.06e-05,0.0843197,1.26031,0.236137
100,0.0002299,5.21e-05,0.0758791,1.22274,0.215772
100,0.0002684,5.92e-05,0.0781165,1.20891,0.231483
100,0.0001846,4.15e-05,0.0764215,1.18325,0.250223
100,0.0002375,4.55e-05,0.0788477,1.25361,0.199563
100,0.0002022,4.07e-05,0.0749267,1.25535,0.312995
100,0.0002302,4.7e-05,0.0838478,1.31441,0.257895
100,0.000184,4.34e-05,0.0781152,1.32831,0.268647
100,0.0002314,6.72e-05,0.0775498,1.14408,0.254893
100,0.0001974,3.83e-05,0.0760662,1.31001,0.249129
100,0.0002429,5.54e-05,0.0778824,1.22737,0.235652
