n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s
10,1,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
40,1,0.00000000,0.00100000,0.22300000,0.03300000,0.22300000,0.03400000
100,1,0.00000000,0.02300000,4.84100000,0.94600000,4.84100000,0.96900000
