n,mesure,temps_max_s
17,t_BH_s,0.019030899995414
17,t_NO_s,0.0164606000034837
17,theta_BH_numba_s,4.5900000259280205e-05
17,theta_BH_s,0.0020194999960949
17,theta_NO_numba_s,1.9700004486367103e-05
17,theta_NO_s,7.500000356230885e-05
17,theta_plus_t_BH_s,0.020480299994233
17,theta_plus_t_NO_s,0.0165257000044221
18,t_BH_s,0.0063211000015144
18,t_NO_s,0.028731999998854
18,theta_BH_numba_s,0.000189099999261
18,theta_BH_s,0.0020203000021865
18,theta_NO_numba_s,1.4700002793688329e-05
18,theta_NO_s,0.0001193999996758
18,theta_plus_t_BH_s,0.0079925000027287
18,theta_plus_t_NO_s,0.0287963999944622
19,t_BH_s,0.0067321000024094
19,t_NO_s,0.0278518999984953
19,theta_BH_numba_s,6.610000127693638e-05
19,theta_BH_s,0.0026201000000583
19,theta_NO_numba_s,2.2799998987466097e-05
19,theta_NO_s,0.000103799997305
19,theta_plus_t_BH_s,0.0089376000032643
19,theta_plus_t_NO_s,0.0279200999939348
20,t_BH_s,0.0096258000048692
20,t_NO_s,0.0364063000015448
20,theta_BH_numba_s,7.270000060088933e-05
20,theta_BH_s,0.0030779000007896
20,theta_NO_numba_s,1.930000144056976e-05
20,theta_NO_s,0.0001296999980695
20,theta_plus_t_BH_s,0.0120449000023654
20,theta_plus_t_NO_s,0.0364797000001999
21,t_BH_s,0.0177303999953437
21,t_NO_s,0.0349905000039143
21,theta_BH_numba_s,0.0001094000035664
21,theta_BH_s,0.0031952999997884
21,theta_NO_numba_s,5.239999882178381e-05
21,theta_NO_s,0.0002158999996026
21,theta_plus_t_BH_s,0.0208953999899677
21,theta_plus_t_NO_s,0.035070000005362
23,t_BH_s,0.0155120999988866
23,t_NO_s,0.0506631000025663
23,theta_BH_numba_s,7.300000288523734e-05
23,theta_BH_s,0.0036542000016197
23,theta_NO_numba_s,1.6999998479150236e-05
23,theta_NO_s,9.720000525703654e-05
23,theta_plus_t_BH_s,0.0187405999968177
23,theta_plus_t_NO_s,0.0507479000007151
25,t_BH_s,0.0188683999949716
25,t_NO_s,0.0644872999982908
25,theta_BH_numba_s,0.0002582999950391
25,theta_BH_s,0.0059643999993568
25,theta_NO_numba_s,4.11000000895001e-05
25,theta_NO_s,0.0002030000032391
25,theta_plus_t_BH_s,0.0228968999945209
25,theta_plus_t_NO_s,0.0645914999986416
27,t_BH_s,0.0264492999995127
27,t_NO_s,0.0779438999961712
27,theta_BH_numba_s,0.0001063000017893
27,theta_BH_s,0.0060548999972525
27,theta_NO_numba_s,1.8300001102034003e-05
27,theta_NO_s,0.0001814000061131
27,theta_plus_t_BH_s,0.0313475000002654
27,theta_plus_t_NO_s,0.0780549999981303
29,t_BH_s,0.0302704999994603
29,t_NO_s,0.1057402000005822
29,theta_BH_numba_s,0.0001598000017111
29,theta_BH_s,0.0159058999997796
29,theta_NO_numba_s,5.1200004236307e-05
29,theta_NO_s,0.0001608000020496
29,theta_plus_t_BH_s,0.0362055000005057
29,theta_plus_t_NO_s,0.1058907000042381
31,t_BH_s,0.0308599999989382
31,t_NO_s,0.1534237999949255
31,theta_BH_numba_s,0.0001458000042475
31,theta_BH_s,0.008151000001817
31,theta_NO_numba_s,2.59000007645227e-05
31,theta_NO_s,0.0002896000005421
31,theta_plus_t_BH_s,0.0384835000004386
31,theta_plus_t_NO_s,0.1535550999979023
33,t_BH_s,0.0436512000014772
33,t_NO_s,0.1792295999985071
33,theta_BH_numba_s,0.0001573999979882
33,theta_BH_s,0.0101694000040879
33,theta_NO_numba_s,2.570000651758164e-05
33,theta_NO_s,0.0004354999982751
33,theta_plus_t_BH_s,0.0530664999969303
33,theta_plus_t_NO_s,0.1793808000002172
35,t_BH_s,0.0450924999968265
35,t_NO_s,0.2238001000005169
35,theta_BH_numba_s,0.0002072999996016
35,theta_BH_s,0.0110401999991154
35,theta_NO_numba_s,2.8399997972883284e-05
35,theta_NO_s,0.000240000001213
35,theta_plus_t_BH_s,0.0548217999967164
35,theta_plus_t_NO_s,0.2239664999942761
37,t_BH_s,0.0640950000015436
37,t_NO_s,0.2953721000012592
37,theta_BH_numba_s,0.0003354000000399
37,theta_BH_s,0.0126117000036174
37,theta_NO_numba_s,2.719999611144885e-05
37,theta_NO_s,0.0002180000010412
37,theta_plus_t_BH_s,0.0759334000031231
37,theta_plus_t_NO_s,0.2955519999959506
39,t_BH_s,0.0676345999963814
39,t_NO_s,0.3226094999990891
39,theta_BH_numba_s,0.0004267999975127
39,theta_BH_s,0.0149183999965316
39,theta_NO_numba_s,3.119999746559188e-05
39,theta_NO_s,0.0002889999959734
39,theta_plus_t_BH_s,0.0810196999955223
39,theta_plus_t_NO_s,0.3227981000018189
41,t_BH_s,0.0823621999952592
41,t_NO_s,0.414413999998942
41,theta_BH_numba_s,0.000337400000717
41,theta_BH_s,0.0184806000033859
41,theta_NO_numba_s,3.850000211969018e-05
41,theta_NO_s,0.0002583999958005
41,theta_plus_t_BH_s,0.0981659999961266
41,theta_plus_t_NO_s,0.4146185999998124
43,t_BH_s,0.080065200003446
43,t_NO_s,0.4685896000009961
43,theta_BH_numba_s,0.0003653000021586
43,theta_BH_s,0.019497199995385
43,theta_NO_numba_s,4.359999729786068e-05
43,theta_NO_s,0.0009714999978314
43,theta_plus_t_BH_s,0.0977840999985346
43,theta_plus_t_NO_s,0.4691132999942056
45,t_BH_s,0.0905869999987771
45,t_NO_s,0.5569860999967204
45,theta_BH_numba_s,0.0003732000041054
45,theta_BH_s,0.020812399998249
45,theta_NO_numba_s,3.440000000409782e-05
45,theta_NO_s,0.0002965000021504
45,theta_plus_t_BH_s,0.1109428999989177
45,theta_plus_t_NO_s,0.5572205999997095
47,t_BH_s,0.1231460999988485
47,t_NO_s,0.6814770000055432
47,theta_BH_numba_s,0.0003768000024138
47,theta_BH_s,0.025301000001491
47,theta_NO_numba_s,4.829999670619145e-05
47,theta_NO_s,0.0003438999992795
47,theta_plus_t_BH_s,0.1456924000012804
47,theta_plus_t_NO_s,0.6817492000045604
49,t_BH_s,0.140868299997237
49,t_NO_s,0.7982860999982222
49,theta_BH_numba_s,0.0004192999986116
49,theta_BH_s,0.0270606999984011
49,theta_NO_numba_s,3.609999839682132e-05
49,theta_NO_s,0.0003269999942858
49,theta_plus_t_BH_s,0.167217599992
49,theta_plus_t_NO_s,0.7985565999988467
51,t_BH_s,0.1589753000007476
51,t_NO_s,0.9824306999944384
51,theta_BH_numba_s,0.000513700004376
51,theta_BH_s,0.0333533000011811
51,theta_NO_numba_s,4.3000000005122274e-05
51,theta_NO_s,0.0003528000015649
51,theta_plus_t_BH_s,0.1923286000019288
51,theta_plus_t_NO_s,0.982715799997095
53,t_BH_s,0.1718588000003365
53,t_NO_s,1.1411030999952343
53,theta_BH_numba_s,0.0005318999974406
53,theta_BH_s,0.0343190999992657
53,theta_NO_numba_s,4.369999805931002e-05
53,theta_NO_s,0.0003585000013117
53,theta_plus_t_BH_s,0.2041552000009687
53,theta_plus_t_NO_s,1.1413994999966235
55,t_BH_s,0.1967614999957732
55,t_NO_s,1.1706500000000233
55,theta_BH_numba_s,0.0006544999996549
55,theta_BH_s,0.0383782999997492
55,theta_NO_numba_s,4.379999882075936e-05
55,theta_NO_s,0.0003849000058835
55,theta_plus_t_BH_s,0.2337178000016138
55,theta_plus_t_NO_s,1.1709625000003143
57,t_BH_s,0.2654757000054815
57,t_NO_s,1.3564095999972778
57,theta_BH_numba_s,0.000668799999402836
57,theta_BH_s,0.043573700000706594
57,theta_NO_numba_s,3.949999518226832e-05
57,theta_NO_s,0.0006740000026184134
57,theta_plus_t_BH_s,0.30747600000177044
57,theta_plus_t_NO_s,1.3567495999959647
59,t_BH_s,0.26866870000230847
59,t_NO_s,1.6124687999981688
59,theta_BH_numba_s,0.0006379000042215921
59,theta_BH_s,0.056043100004899316
59,theta_NO_numba_s,3.8700003642588854e-05
59,theta_NO_s,0.0004999999946448952
59,theta_plus_t_BH_s,0.3123483000017586
59,theta_plus_t_NO_s,1.6128181999956723
