n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s,theta_NO_numba_s,theta_BH_numba_s
1,92,2.5000044843181968e-06,5.800000508315861e-06,9.699993825051934e-06,9.60000033956021e-06,1.219999830937013e-05,1.5400000847876072e-05,2.000000677071512e-06,2.40000372286886e-06
1,93,2.5000044843181968e-06,5.699999746866524e-06,9.2999980552122e-06,9.499999578110874e-06,1.1800002539530396e-05,1.5199999324977398e-05,2.1000014385208488e-06,2.59999796980992e-06
1,94,2.5000044843181968e-06,5.900001269765198e-06,9.60000033956021e-06,9.500006854068488e-06,1.2100004823878407e-05,1.5400008123833686e-05,1.9999934011138976e-06,2.3999964469112456e-06
1,95,2.4999972083605826e-06,5.599998985417187e-06,9.60000033956021e-06,9.499999578110874e-06,1.2099997547920792e-05,1.509999856352806e-05,1.8999999156221747e-06,2.3999964469112456e-06
1,96,2.5000044843181968e-06,5.699999746866524e-06,9.399998816661537e-06,9.399998816661537e-06,1.1900003300979732e-05,1.509999856352806e-05,2.000000677071512e-06,2.40000372286886e-06
1,97,2.4999972083605826e-06,5.699999746866524e-06,9.2999980552122e-06,9.199997293762864e-06,1.1799995263572782e-05,1.4899997040629389e-05,1.8999999156221747e-06,2.3999964469112456e-06
1,98,2.3999964469112456e-06,5.600006261374801e-06,1.0600000678095968e-05,9.200004569720475e-06,1.2999997125007212e-05,1.4800010831095278e-05,2.000000677071512e-06,2.40000372286886e-06
1,99,2.4999972083605826e-06,5.699999746866524e-06,9.199997293762864e-06,9.099996532313526e-06,1.1699994502123444e-05,1.479999627918005e-05,1.8999999156221747e-06,2.4999972083605826e-06
1,100,2.40000372286886e-06,5.599998985417187e-06,9.099996532313526e-06,9.10000380827114e-06,1.1500000255182384e-05,1.4700002793688329e-05,1.8999999156221747e-06,2.40000372286886e-06
2,1,7.100003131199628e-06,2.289999974891544e-05,6.949999806238338e-05,2.2400003217626363e-05,7.660000119358301e-05,4.53000029665418e-05,4.499997885432094e-06,4.199995601084083e-06
2,2,7.199996616691351e-06,1.939999492606148e-05,2.1699997887481004e-05,1.920000067912042e-05,2.8899994504172355e-05,3.85999956051819e-05,2.8999929782003164e-06,3.2999960239976645e-06
2,3,6.100002792663872e-06,1.850000262493268e-05,1.8999999156221747e-05,1.700000575510785e-05,2.510000194888562e-05,3.5500008380040526e-05,2.5000044843181968e-06,3.399996785447001e-06
2,4,4.999994416721165e-06,1.809999957913533e-05,4.669999907491729e-05,1.809999957913533e-05,5.169999349163845e-05,3.619999915827066e-05,2.7999994927085936e-06,3.2000025385059416e-06
2,5,6.199996278155595e-06,1.840000186348334e-05,3.85999956051819e-05,1.7099999240599573e-05,4.47999918833375e-05,3.550000110408291e-05,2.6000052457675338e-06,3.399996785447001e-06
2,6,5.400004738476127e-06,1.7599995771888644e-05,1.7300000763498247e-05,1.630000042496249e-05,2.270000550197437e-05,3.3899996196851134e-05,2.3000029614195228e-06,3.1000017770566046e-06
2,7,5.600006261374801e-06,1.7599995771888644e-05,1.870000414783135e-05,1.750000228639692e-05,2.4300010409206152e-05,3.5099998058285564e-05,2.3999964469112456e-06,3.1000017770566046e-06
2,8,5.699999746866524e-06,1.7800004570744932e-05,3.930000093532726e-05,1.7899998056236655e-05,4.5000000682193786e-05,3.5700002626981586e-05,2.4999972083605826e-06,3.1000017770566046e-06
2,9,5.399997462518513e-06,1.7300000763498247e-05,1.7400001524947584e-05,1.6999998479150236e-05,2.2799998987466097e-05,3.429999924264848e-05,2.59999796980992e-06,3.2000025385059416e-06
2,10,5.599998985417187e-06,1.769999653333798e-05,3.6799996451009065e-05,1.700000575510785e-05,4.239999543642625e-05,3.470000228844583e-05,2.5000044843181968e-06,3.1999952625483274e-06
2,11,5.900001269765198e-06,1.7400001524947584e-05,3.830000059679151e-05,1.8300001102034003e-05,4.4200001866556704e-05,3.5700002626981586e-05,2.59999796980992e-06,3.0999945010989904e-06
2,12,5.800000508315861e-06,1.809999957913533e-05,3.750000178115442e-05,1.6999998479150236e-05,4.3300002289470285e-05,3.5099998058285564e-05,2.4999972083605826e-06,3.300003299955278e-06
2,13,5.800000508315861e-06,1.7700003809295595e-05,3.780000406550244e-05,1.920000067912042e-05,4.3600004573818296e-05,3.6900004488416016e-05,2.59999796980992e-06,3.000001015607268e-06
2,14,6.000002031214535e-06,1.7600003047846258e-05,3.7999998312443495e-05,1.7300000763498247e-05,4.400000034365803e-05,3.4900003811344504e-05,2.3999964469112456e-06,3.300003299955278e-06
2,15,6.000002031214535e-06,1.7899998056236655e-05,1.889999839477241e-05,1.7700003809295595e-05,2.4900000425986946e-05,3.560000186553225e-05,2.5000044843181968e-06,4.499997885432094e-06
2,16,5.49999822396785e-06,1.809999957913533e-05,3.949999518226832e-05,1.7899998056236655e-05,4.499999340623617e-05,3.599999763537198e-05,2.3999964469112456e-06,3.000001015607268e-06
2,17,5.800000508315861e-06,1.840000186348334e-05,3.779999678954482e-05,1.720000000204891e-05,4.359999729786068e-05,3.560000186553225e-05,2.4999972083605826e-06,3.300003299955278e-06
